model_filename,performance_metric,metric_value,dataset,source
Extreme Gradient Boosting,f1_score,0.9926,ptbdb,ensembling-models
Light Gradient Boosting Machine,f1_score,0.9925,ptbdb,ensembling-models
Random Forest Classifier,f1_score,0.9922,ptbdb,ensembling-models
Gradient Boosting Classifier,f1_score,0.9922,ptbdb,ensembling-models
Ada Boost Classifier,f1_score,0.9908,ptbdb,ensembling-models
SVM - Linear Kernel,f1_score,0.9902,ptbdb,ensembling-models
Naive Bayes,f1_score,0.9883,ptbdb,ensembling-models
Quadratic Discriminant Analysis,f1_score,0.9873,ptbdb,ensembling-models
Dummy Classifier,f1_score,0.8377,ptbdb,ensembling-models
Extra Trees Classifier,cohen_kappa_score,0.9766,ptbdb,ensembling-models
K Neighbors Classifier,cohen_kappa_score,0.9742,ptbdb,ensembling-models
CatBoost Classifier,cohen_kappa_score,0.9741,ptbdb,ensembling-models
Logistic Regression,cohen_kappa_score,0.973,ptbdb,ensembling-models
Decision Tree Classifier,cohen_kappa_score,0.973,ptbdb,ensembling-models
Ridge Classifier,cohen_kappa_score,0.973,ptbdb,ensembling-models
Linear Discriminant Analysis,cohen_kappa_score,0.973,ptbdb,ensembling-models
Extreme Gradient Boosting,cohen_kappa_score,0.9729,ptbdb,ensembling-models
Light Gradient Boosting Machine,cohen_kappa_score,0.9729,ptbdb,ensembling-models
Random Forest Classifier,cohen_kappa_score,0.9717,ptbdb,ensembling-models
Gradient Boosting Classifier,cohen_kappa_score,0.9717,ptbdb,ensembling-models
Ada Boost Classifier,cohen_kappa_score,0.967,ptbdb,ensembling-models
SVM - Linear Kernel,cohen_kappa_score,0.9645,ptbdb,ensembling-models
Naive Bayes,cohen_kappa_score,0.9591,ptbdb,ensembling-models
Quadratic Discriminant Analysis,cohen_kappa_score,0.9554,ptbdb,ensembling-models
Dummy Classifier,cohen_kappa_score,0.0,ptbdb,ensembling-models
Extra Trees Classifier,matthews_corrcoef,0.9769,ptbdb,ensembling-models
K Neighbors Classifier,matthews_corrcoef,0.9744,ptbdb,ensembling-models
CatBoost Classifier,matthews_corrcoef,0.9744,ptbdb,ensembling-models
Logistic Regression,matthews_corrcoef,0.9731,ptbdb,ensembling-models
Decision Tree Classifier,matthews_corrcoef,0.9732,ptbdb,ensembling-models
Ridge Classifier,matthews_corrcoef,0.9731,ptbdb,ensembling-models
Linear Discriminant Analysis,matthews_corrcoef,0.9731,ptbdb,ensembling-models
Extreme Gradient Boosting,matthews_corrcoef,0.9732,ptbdb,ensembling-models
Light Gradient Boosting Machine,matthews_corrcoef,0.9732,ptbdb,ensembling-models
Random Forest Classifier,matthews_corrcoef,0.972,ptbdb,ensembling-models
Gradient Boosting Classifier,matthews_corrcoef,0.972,ptbdb,ensembling-models
Ada Boost Classifier,matthews_corrcoef,0.9672,ptbdb,ensembling-models
SVM - Linear Kernel,matthews_corrcoef,0.9647,ptbdb,ensembling-models
Naive Bayes,matthews_corrcoef,0.9597,ptbdb,ensembling-models
Quadratic Discriminant Analysis,matthews_corrcoef,0.956,ptbdb,ensembling-models
Dummy Classifier,matthews_corrcoef,0.0,ptbdb,ensembling-models
Extra Trees Classifier,balanced_accuracy_score,0.9865,ptbdb,ensembling-models
K Neighbors Classifier,balanced_accuracy_score,0.9858,ptbdb,ensembling-models
CatBoost Classifier,balanced_accuracy_score,0.9847,ptbdb,ensembling-models
Logistic Regression,balanced_accuracy_score,0.9849,ptbdb,ensembling-models
Decision Tree Classifier,balanced_accuracy_score,0.9849,ptbdb,ensembling-models
Ridge Classifier,balanced_accuracy_score,0.9849,ptbdb,ensembling-models
Linear Discriminant Analysis,balanced_accuracy_score,0.9849,ptbdb,ensembling-models
Extreme Gradient Boosting,balanced_accuracy_score,0.9839,ptbdb,ensembling-models
Light Gradient Boosting Machine,balanced_accuracy_score,0.9844,ptbdb,ensembling-models
Random Forest Classifier,balanced_accuracy_score,0.983,ptbdb,ensembling-models
Gradient Boosting Classifier,balanced_accuracy_score,0.983,ptbdb,ensembling-models
Ada Boost Classifier,balanced_accuracy_score,0.9843,ptbdb,ensembling-models
SVM - Linear Kernel,balanced_accuracy_score,0.9815,ptbdb,ensembling-models
Naive Bayes,balanced_accuracy_score,0.9852,ptbdb,ensembling-models
Quadratic Discriminant Analysis,balanced_accuracy_score,0.9825,ptbdb,ensembling-models
Dummy Classifier,balanced_accuracy_score,0.5,ptbdb,ensembling-models
WeightedEnsemble_L3,accuracy,0.987756127646938,mitbih,automl-baseline
LightGBM_BAG_L2,accuracy,0.9875048541471548,mitbih,automl-baseline
XGBoost_BAG_L2,accuracy,0.9874934326244376,mitbih,automl-baseline
NeuralNetFastAI_BAG_L2,accuracy,0.9874705895790028,mitbih,automl-baseline
RandomForestEntr_BAG_L2,accuracy,0.9874020604426982,mitbih,automl-baseline
RandomForestGini_BAG_L2,accuracy,0.987253580647372,mitbih,automl-baseline
LightGBMXT_BAG_L2,accuracy,0.9872078945565024,mitbih,automl-baseline
LightGBMLarge_BAG_L2,accuracy,0.9871850515110676,mitbih,automl-baseline
ExtraTreesGini_BAG_L2,accuracy,0.9870936793293282,mitbih,automl-baseline
CatBoost_BAG_L2,accuracy,0.9870251501930236,mitbih,automl-baseline
ExtraTreesEntr_BAG_L2,accuracy,0.9870251501930236,mitbih,automl-baseline
WeightedEnsemble_L2,accuracy,0.9867053475569364,mitbih,automl-baseline
